Tým;Průměr_Sezóna;Průměr_vs_Slabí;Odchylka
Aston Villa;24.84;30.75;5.91
Burnley;18.74;21.75;3.01
West Ham;21.89;23.67;1.77
Arsenal;20.74;22.2;1.46
Nott'm Forest;22.16;23.5;1.34
Newcastle;21.0;21.67;0.67
Bournemouth;23.26;23.8;0.54
Man City;20.32;20.8;0.48
Tottenham;19.79;20.2;0.41
Liverpool;20.79;21.17;0.38
Brentford;19.68;20.0;0.32
Fulham;21.32;21.6;0.28
Everton;21.68;21.67;-0.02
Crystal Palace;19.47;19.2;-0.27
Man United;22.05;21.4;-0.65
Chelsea;24.0;23.2;-0.8
Brighton;22.63;21.8;-0.83
Wolves;23.95;23.0;-0.95
Leeds;21.95;20.25;-1.7
Sunderland;20.16;16.4;-3.76
