;Tým;Z;B;Skóre;+/-
1;Arsenal;19;45;37:12;25
2;Man City;19;41;43:17;26
3;Aston Villa;19;39;30:23;7
4;Liverpool;19;33;30:26;4
5;Chelsea;19;30;32:21;11
6;Man United;19;30;33:29;4
7;Sunderland;19;29;20:18;2
8;Everton;19;28;20:20;0
9;Brentford;19;27;28:26;2
10;Crystal Palace;19;27;22:21;1
11;Fulham;19;27;26:27;-1
12;Tottenham;19;26;27:23;4
13;Newcastle;19;26;26:24;2
14;Brighton;19;25;28:27;1
15;Bournemouth;19;23;29:35;-6
16;Leeds;19;21;25:32;-7
17;Nott'm Forest;19;18;18:30;-12
18;West Ham;19;14;21:38;-17
19;Burnley;19;12;20:37;-17
20;Wolves;19;3;11:40;-29
