"Team,Fouls pg,Fouled pg,Tackles pg,Interceptions pg,Shots pg,Dribbles pg,xG,Goals,TeamFD"
"Real Madrid,10.2,11.5,15.1,9.2,16.8,12.4,2.15,2.1,Real Madrid"
"Barcelona,10.8,12.1,16.0,10.0,15.9,11.8,1.95,1.9,Barcelona"
"Atlético Madrid,12.5,13.0,17.8,11.5,13.2,9.1,1.65,1.6,Atletico Madrid"
"Girona,11.4,12.0,15.2,9.8,13.9,10.2,1.55,1.5,Girona"
"Athletic Club,12.0,12.8,17.0,10.9,12.8,9.5,1.45,1.4,Ath Bilbao"
"Real Sociedad,11.1,12.4,16.5,11.2,12.5,9.8,1.40,1.3,Real Sociedad"
"Real Betis,12.8,13.5,17.2,10.5,11.8,8.9,1.30,1.2,Betis"
"Valencia,13.2,14.0,18.0,11.8,11.2,8.4,1.20,1.1,Valencia"
"Villarreal,12.5,13.2,16.8,10.2,12.0,9.0,1.25,1.2,Villarreal"
"Osasuna,14.0,14.5,19.0,12.0,10.1,7.5,1.05,1.0,Osasuna"
"Sevilla,13.5,14.2,18.5,11.4,11.5,8.2,1.15,1.1,Sevilla"
"Rayo Vallecano,14.8,15.2,19.5,12.5,9.8,7.2,1.00,0.9,Rayo Vallecano"
"Getafe,15.5,15.8,20.2,13.0,9.2,6.8,0.95,0.9,Getafe"
"Celta Vigo,13.8,14.5,18.8,11.9,10.5,7.9,1.05,1.0,Celta"
"Mallorca,15.0,15.5,20.0,12.8,9.0,6.5,0.90,0.8,Mallorca"
"Alavés,15.2,15.8,20.5,13.2,8.8,6.2,0.85,0.8,Alaves"
"Las Palmas,14.5,15.0,19.2,12.0,9.5,7.0,0.95,0.9,Las Palmas"
"Leganés,15.8,16.2,21.0,13.5,8.5,6.0,0.80,0.7,Leganes"
"Espanyol,14.2,14.8,18.5,11.5,10.2,7.4,1.00,0.9,Espanyol"
"Valladolid,15.0,15.5,19.8,12.2,9.0,6.7,0.85,0.8,Valladolid"
