"Team,Fouls pg,Fouled pg,Tackles pg,Interceptions pg,Shots pg,Dribbles pg,xG,Goals,TeamFD"
"Inter,11.0,12.0,16.5,10.2,15.8,10.5,1.90,1.8,Inter"
"AC Milan,11.5,12.5,17.0,10.8,15.2,10.0,1.75,1.7,AC Milan"
"Juventus,12.2,13.0,17.8,11.5,14.0,9.2,1.60,1.5,Juventus"
"Napoli,11.8,12.8,17.2,11.0,15.0,10.1,1.70,1.6,Napoli"
"Atalanta,12.5,13.2,18.5,12.0,14.8,10.8,1.65,1.6,Atalanta"
"Roma,12.8,13.5,18.0,11.8,13.5,9.5,1.45,1.4,Roma"
"Lazio,12.0,13.0,17.5,11.2,13.0,9.0,1.40,1.3,Lazio"
"Fiorentina,13.0,14.0,18.8,12.0,12.8,8.8,1.35,1.3,Fiorentina"
"Bologna,13.2,14.2,19.0,12.2,12.5,8.5,1.30,1.2,Bologna"
"Torino,14.0,14.8,20.0,12.8,11.2,7.8,1.15,1.1,Torino"
"Monza,14.5,15.0,20.5,13.0,10.8,7.5,1.10,1.0,Monza"
"Genoa,14.8,15.2,21.0,13.5,10.5,7.2,1.05,1.0,Genoa"
"Udinese,15.2,15.8,21.5,14.0,10.2,7.0,1.00,0.9,Udinese"
"Sassuolo,14.2,14.8,20.2,12.8,11.0,7.8,1.10,1.0,Sassuolo"
"Cagliari,15.5,16.0,22.0,14.5,9.8,6.8,0.95,0.9,Cagliari"
"Empoli,15.0,15.5,21.5,14.2,9.5,6.5,0.90,0.8,Empoli"
"Verona,15.8,16.2,22.5,14.8,9.2,6.2,0.85,0.8,Verona"
"Lecce,15.2,15.8,21.8,14.0,9.8,6.9,0.95,0.9,Lecce"
"Parma,14.5,15.0,20.8,13.2,10.0,7.2,1.00,0.9,Parma"
"Venezia,15.0,15.5,21.2,13.8,9.5,6.8,0.90,0.8,Venezia"
