Team,Goals,Shots pg,Possession%,Pass%,AerialsWon,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Shots pg,Shots OT pg,Dribbles pg,Fouled pg,xG,Goals*,xGDiff,Shots,xG/Shots,Rating
Arsenal,40,14.9,58.1,85.3,15.6,7.9,15.8,7,10,1.6,14.9,5,7.5,10.4,41.61,37,-4.61,313,0.12,68.0
Aston Villa,33,11.7,53.0,85.1,12,13,15.5,6,9.9,1,11.7,4.3,6.8,13.7,28.59,32,3.41,245,0.12,66.1
Bournemouth,34,13.8,50.6,80.0,15.9,12.4,17.3,8.9,12.9,2.1,13.8,5,7.9,10,34.15,34,-0.15,289,0.12,66.0
Brentford,35,10.3,46.0,79.0,19.8,12.6,15.5,8.9,10.5,1.8,10.3,4.2,6.3,9,38.4,34,-4.4,216,0.18,66.9
Brighton,31,13.2,52.0,84.3,13.8,12.7,18.4,8.4,12.3,1.8,13.2,4.4,8.2,10,33.46,30,-3.46,277,0.12,66.0
Burnley,22,8.9,41.4,77.9,16.7,16.3,17.5,9.3,10,1.5,8.9,3,4.3,8.4,19.78,21,1.22,187,0.11,64.5
Crystal Palace,22,11.7,43.0,77.2,18,11.6,19.8,8.9,9.8,2,11.7,3.9,4.4,8.9,36.34,21,-15.34,246,0.15,66.8
Everton,23,10.9,42.8,79.2,22.4,13.6,18,7.9,10.3,1.1,10.9,3.1,6.4,11,27.07,22,-5.07,228,0.12,66.8
Fulham,30,12,51.3,83.8,13.8,11.3,17.2,8.2,11.1,1.9,12,3.8,6.5,9.3,26.19,27,0.81,251,0.1,65.9
Chelsea,34,13.9,57.7,86.1,14.7,11,16.1,10,11.5,1.4,13.9,4.8,7.9,11.8,39.45,34,-5.54,292,0.14,67.2
Leeds,29,12.8,45.6,80.2,17.8,12.1,17.9,9.5,10.1,1.5,12.8,4.1,6,11.4,33.56,29,-4.56,268,0.13,65.6
Liverpool,32,14.7,60.9,86.3,17.1,10.8,12.9,6.5,9.7,2.3,14.7,4,8.1,10.2,36.81,31,-5.81,309,0.12,66.9
Manchester City,45,14.5,58.9,87.9,12.9,9.2,14.3,8.3,9.7,1.1,14.5,5.3,10.9,10.7,43.44,42,-1.44,305,0.14,69.0
Manchester United,36,16.7,53.8,82.1,18.1,11.1,18.7,7.8,10.4,1.5,16.7,5.7,6.7,10.7,41.16,34,-7.16,351,0.12,66.9
Newcastle,32,13,53.0,83.3,18,10.9,13.9,7.5,10,1.2,13,4.8,7.1,10.4,34.43,32,-2.43,272,0.13,66.7
Nottingham Forest,21,12.4,50.0,83.1,14.2,12.8,17.3,7.9,10.9,1.4,12.4,4,7.2,11.4,26.39,21,-5.39,260,0.1,65.3
Sunderland,21,9.6,42.6,78.8,19.1,14.9,16.3,8.5,9.9,1.5,9.6,3.1,5.4,10,22.77,19,-3.77,202,0.11,66.4
Tottenham,30,10.2,50.9,81.6,15.3,11.5,19.7,7.1,10.9,1.9,10.2,3.4,9.2,8.7,23.87,29,5.13,214,0.11,66.3
West Ham,22,10,43.2,80.0,15,15.1,17.3,8.4,10.9,1.8,10,3.3,6.6,10.5,24.77,20,-4.77,210,0.12,64.9
Wolves,15,9.1,44.6,80.2,17.1,13.3,19.7,8.7,14.1,1.2,9.1,3.2,6.3,9.7,20.07,14,-6.07,191,0.11,64.2
